title,trailer_url
"Misérables, Les (1995)",https://www.youtube.com/watch?v=onfO_zaXmW4
Bed of Roses (1996),https://www.youtube.com/watch?v=GJ6-ymSjShg
Screamers (1995),https://www.youtube.com/watch?v=qrgAvr0TIr4
"Juror, The (1996)",https://www.youtube.com/watch?v=Awng-jZnkoY
Things to Do in Denver When You're Dead (1995),https://www.youtube.com/watch?v=tsN7bzOk4RM
Antonia's Line (Antonia) (1995),https://www.youtube.com/watch?v=3n1O-sKecdA
Angels and Insects (1995),https://www.youtube.com/watch?v=A3ct-wvner8
White Squall (1996),https://www.youtube.com/watch?v=2T6WvayGd64
Black Sheep (1996),https://www.youtube.com/watch?v=j7e0AMm5QCw
Nick of Time (1995),https://www.youtube.com/watch?v=WlbQTPJsmv8
Mary Reilly (1996),https://www.youtube.com/watch?v=0jb87JTGoMg
Vampire in Brooklyn (1995),https://www.youtube.com/watch?v=1u9ZGB5F3MI
Beautiful Girls (1996),https://www.youtube.com/watch?v=GKZMinpfljI
Broken Arrow (1996),https://www.youtube.com/watch?v=T-C4rJM-9QU
"Hate (Haine, La) (1995)",https://www.youtube.com/watch?v=viwmlW6ENiY
City Hall (1996),https://www.youtube.com/watch?v=3q_EN0iox_I
Bottle Rocket (1996),https://www.youtube.com/watch?v=JJPQ-NnjZR0
Mr. Wrong (1996),https://www.youtube.com/watch?v=IKuR9Npr1bY
Happy Gilmore (1996),https://www.youtube.com/watch?v=y1emDAYCfVQ
"Bridges of Madison County, The (1995)",https://www.youtube.com/watch?v=Up-oN4NtvbM
Muppet Treasure Island (1996),https://www.youtube.com/watch?v=-37gsH0ideE
Braveheart (1995),https://www.youtube.com/watch?v=1NJO0jxBtMo
Taxi Driver (1976),https://www.youtube.com/watch?v=T5IligQP7Fo
Rumble in the Bronx (Hont faan kui) (1995),
Boomerang (1992),https://www.youtube.com/watch?v=qOty3K6h03s
Chungking Express (Chung Hing sam lam) (1994),https://www.youtube.com/watch?v=C3NDz_7KP2g
Flirting With Disaster (1996),https://www.youtube.com/watch?v=b0nE4KWZ4Io
Jade (1995),https://www.youtube.com/watch?v=9yQ1L97C9FU
Down Periscope (1996),https://www.youtube.com/watch?v=lTyxmVou27w
Up Close and Personal (1996),https://www.youtube.com/watch?v=6Y28HLt-fEg
"Birdcage, The (1996)",https://www.youtube.com/watch?v=Y46JSmjcpeM
"Brothers McMullen, The (1995)",https://www.youtube.com/watch?v=WPsbUcvKzxQ
Bad Boys (1995),https://www.youtube.com/watch?v=Xm12NSa8jsM
"Basketball Diaries, The (1995)",https://www.youtube.com/watch?v=-Zc7T0vUpj0
Apollo 13 (1995),https://www.youtube.com/watch?v=KtEIMC58sZo
Rob Roy (1995),https://www.youtube.com/watch?v=p76fH8_a32Y
Batman Forever (1995),https://www.youtube.com/watch?v=ROLvjRB4E_Q
Beauty of the Day (Belle de jour) (1967),https://www.youtube.com/watch?v=QgsOS2oaDZQ
Blue in the Face (1995),https://www.youtube.com/watch?v=gw_iod-RPSE
Canadian Bacon (1995),https://www.youtube.com/watch?v=4jf8Bt4gD9Y
Casper (1995),https://www.youtube.com/watch?v=1RM2TV4vDUY
Clockers (1995),https://www.youtube.com/watch?v=YsFUoioGePc
Congo (1995),https://www.youtube.com/watch?v=6nj5G4GffWo
Crimson Tide (1995),https://www.youtube.com/watch?v=I3ItZQb-GLM
Crumb (1994),https://www.youtube.com/watch?v=4FJiTCAmD4k
Desperado (1995),https://www.youtube.com/watch?v=G3_vC5kSU6A
Devil in a Blue Dress (1995),https://www.youtube.com/watch?v=7bWekMNDfT8
Die Hard: With a Vengeance (1995),https://www.youtube.com/watch?v=QKxQ5SBzLWA
First Knight (1995),https://www.youtube.com/watch?v=zO1_r6slUlk
Free Willy 2: The Adventure Home (1995),https://www.youtube.com/watch?v=SFnK1abzS9E
Hackers (1995),https://www.youtube.com/watch?v=Rn2cf_wJ4f4
Johnny Mnemonic (1995),https://www.youtube.com/watch?v=EFJY_BZ55sI
Judge Dredd (1995),https://www.youtube.com/watch?v=Y9zBb3Q2Kso
Jury Duty (1995),https://www.youtube.com/watch?v=A39yUsdlzKk
Kids (1995),https://www.youtube.com/watch?v=U9a5tZSKDOU
Living in Oblivion (1995),https://www.youtube.com/watch?v=12-S3adLCkQ
Lord of Illusions (1995),https://www.youtube.com/watch?v=lN1RToUAOQg
Mallrats (1995),https://www.youtube.com/watch?v=toFqw3d7TlA
Mighty Morphin Power Rangers: The Movie (1995),https://www.youtube.com/watch?v=Gb5MGWPAiGg
"Net, The (1995)",https://www.youtube.com/watch?v=88l9tjkTBwQ
Nine Months (1995),https://www.youtube.com/watch?v=QO5XN9kh1Ic
"Prophecy, The (1995)",https://www.youtube.com/watch?v=McNSH9cvVzY
"Scarlet Letter, The (1995)",https://www.youtube.com/watch?v=wzoFrXEdC74
Showgirls (1995),https://www.youtube.com/watch?v=MTtXYV0gaR4
Smoke (1995),https://www.youtube.com/watch?v=uem9TbvQpFk
Something to Talk About (1995),https://www.youtube.com/watch?v=x1wNnEaYfYM
Species (1995),https://www.youtube.com/watch?v=ECe9Yqltw_w
Strange Days (1995),https://www.youtube.com/watch?v=_DnLmuCcKRk
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",https://www.youtube.com/watch?v=eqzQn15mFao
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",https://www.youtube.com/watch?v=P2yNnEhsFno
Under Siege 2: Dark Territory (1995),https://www.youtube.com/watch?v=LorQZ4TfbTQ
"Walk in the Clouds, A (1995)",https://www.youtube.com/watch?v=CCJLFg1nOao
Waterworld (1995),https://www.youtube.com/watch?v=NpKbULrB9Z8
Burnt by the Sun (Utomlyonnye solntsem) (1994),https://www.youtube.com/watch?v=FgeWJRppugA
Before Sunrise (1995),https://www.youtube.com/watch?v=6MUcuqbGTxc
Billy Madison (1995),https://www.youtube.com/watch?v=V2Q40rXJuMU
Boys on the Side (1995),https://www.youtube.com/watch?v=2rXXJpdwGnI
Circle of Friends (1995),https://www.youtube.com/watch?v=RHwz9813Ows
Clerks (1994),https://www.youtube.com/watch?v=Mlfn5n-E2WE
Don Juan DeMarco (1995),https://www.youtube.com/watch?v=AteQZ7q6rtA
Disclosure (1994),https://www.youtube.com/watch?v=_UtApAxpjJ0
Drop Zone (1994),https://www.youtube.com/watch?v=FrR6QwWMxr8
Death and the Maiden (1994),https://www.youtube.com/watch?v=m6DVirHBgFo
Dolores Claiborne (1995),https://www.youtube.com/watch?v=mH941qrVAJo
Dumb & Dumber (Dumb and Dumber) (1994),https://www.youtube.com/watch?v=l13yPhimE3o
Eat Drink Man Woman (Yin shi nan nu) (1994),https://www.youtube.com/watch?v=l7pKpO8NErU
Exotica (1994),https://www.youtube.com/watch?v=mEhf9tAdT5I
Exit to Eden (1994),https://www.youtube.com/watch?v=1wMwAtIMsNY
Ed Wood (1994),https://www.youtube.com/watch?v=CawVaHxWvnA
French Kiss (1995),https://www.youtube.com/watch?v=tL9rSD0wrHM
Forget Paris (1995),https://www.youtube.com/watch?v=98Z2-q8rlZk
"Goofy Movie, A (1995)",https://www.youtube.com/watch?v=_IY7_iCuINo
Hoop Dreams (1994),https://www.youtube.com/watch?v=fuemPpgc-7s
Heavenly Creatures (1994),https://www.youtube.com/watch?v=kJ2yZjnPwQc
Houseguest (1994),https://www.youtube.com/watch?v=1y0eIZd5EXE
Immortal Beloved (1994),https://www.youtube.com/watch?v=nrXwNLIONyg
I.Q. (1994),https://www.youtube.com/watch?v=BMlGIv1KSYk
Interview with the Vampire: The Vampire Chronicles (1994),https://www.youtube.com/watch?v=sCmYN6TLd8A
Junior (1994),https://www.youtube.com/watch?v=aNfsJuv0bJU
Just Cause (1995),https://www.youtube.com/watch?v=oiFqWwJsbAk
"Kid in King Arthur's Court, A (1995)",https://www.youtube.com/watch?v=BhfjB2X-5O0
Kiss of Death (1995),https://www.youtube.com/watch?v=OzDKmB6bfQQ
Star Wars: Episode IV - A New Hope (1977),https://www.youtube.com/watch?v=vZ734NWnAHA
Little Women (1994),https://www.youtube.com/watch?v=sET83nlk1NU
"Little Princess, A (1995)",https://www.youtube.com/watch?v=Q3WJrWZ_npg
Like Water for Chocolate (Como agua para chocolate) (1992),https://www.youtube.com/watch?v=EkvgSTJkKGI
Legends of the Fall (1994),https://www.youtube.com/watch?v=QmfxbiMbASI
Major Payne (1995),https://www.youtube.com/watch?v=8Mqt2dN8W3c
"Madness of King George, The (1994)",https://www.youtube.com/watch?v=BHNSAK8d3qc
Mary Shelley's Frankenstein (Frankenstein) (1994),https://www.youtube.com/watch?v=NQt9BbylCwI
Mixed Nuts (1994),https://www.youtube.com/watch?v=dwBG2CXDXcc
Milk Money (1994),https://www.youtube.com/watch?v=mQJDvN59u6o
Miracle on 34th Street (1994),https://www.youtube.com/watch?v=leDD6Y-Nyqg
Murder in the First (1995),https://www.youtube.com/watch?v=oMbMwdPwnYE
Nobody's Fool (1994),https://www.youtube.com/watch?v=Zh4nKGloiHk
Nell (1994),https://www.youtube.com/watch?v=TMdq4zNOGF8
Natural Born Killers (1994),https://www.youtube.com/watch?v=XpLKNclOtLg
Only You (1994),https://www.youtube.com/watch?v=zLrqyfkXt_A
Once Were Warriors (1994),https://www.youtube.com/watch?v=N0-Q3ChKcfE
Outbreak (1995),https://www.youtube.com/watch?v=Y5povsMKfT4
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),https://www.youtube.com/watch?v=Nq101UyQyTo
Pulp Fiction (1994),https://www.youtube.com/watch?v=s7EdQ4FqbhY
Priest (1994),https://www.youtube.com/watch?v=mxlZ8hB5Q40
Quiz Show (1994),https://www.youtube.com/watch?v=bj-m3Ddmn0E
"Queen Margot (Reine Margot, La) (1994)",https://www.youtube.com/watch?v=AcCPByEp3KI
"Quick and the Dead, The (1995)",https://www.youtube.com/watch?v=Lo9cGqmHXhg
Ready to Wear (Pret-A-Porter) (1994),https://www.youtube.com/watch?v=ENrpGFroUbw
Three Colors: Red (Trois couleurs: Rouge) (1994),https://www.youtube.com/watch?v=RPLpbDFQZpg
Three Colors: Blue (Trois couleurs: Bleu) (1993),https://www.youtube.com/watch?v=cVaqLZmMf-k
Three Colors: White (Trzy kolory: Bialy) (1994),https://www.youtube.com/watch?v=1HeEUjqsI1M
"Secret of Roan Inish, The (1994)",https://www.youtube.com/watch?v=E0niI55VeDA
"Specialist, The (1994)",https://www.youtube.com/watch?v=CkKxQQ4He88
Stargate (1994),https://www.youtube.com/watch?v=kiJtZUPvJxY
"Santa Clause, The (1994)",https://www.youtube.com/watch?v=Bx8FX7etF_8
"Shawshank Redemption, The (1994)",https://www.youtube.com/watch?v=NmzuHjWmXOc
Shallow Grave (1994),https://www.youtube.com/watch?v=HbxNej_MJlw
Swimming with Sharks (1995),https://www.youtube.com/watch?v=NA2fFxl_ztY
Tank Girl (1995),https://www.youtube.com/watch?v=rpxWdGkiGqg
Tales from the Crypt Presents: Demon Knight (1995),https://www.youtube.com/watch?v=40bOBBbjbIQ
Star Trek: Generations (1994),https://www.youtube.com/watch?v=KxVyLLHLmz4
Tales from the Hood (1995),https://www.youtube.com/watch?v=dOO-A59c4C0
Village of the Damned (1995),https://www.youtube.com/watch?v=qSIRK3MtIQ4
Tommy Boy (1995),https://www.youtube.com/watch?v=9btKFrFhq28
Vanya on 42nd Street (1994),https://www.youtube.com/watch?v=hJxvpLrp4yA
What's Eating Gilbert Grape (1993),https://www.youtube.com/watch?v=nCsVjQaNV0E
Virtuosity (1995),https://www.youtube.com/watch?v=tdYoDEh_L7M
While You Were Sleeping (1995),https://www.youtube.com/watch?v=nsJxyUvkB_E
"War, The (1994)",https://www.youtube.com/watch?v=w7aE0a8keiA
Muriel's Wedding (1994),https://www.youtube.com/watch?v=vwkCIpLMZBw
Ace Ventura: Pet Detective (1994),https://www.youtube.com/watch?v=qjBb1CKLpzE
"Adventures of Priscilla, Queen of the Desert, The (1994)",https://www.youtube.com/watch?v=QgFDIinCeYI
Bitter Moon (1992),https://www.youtube.com/watch?v=hGynIx4Dd3c
Bullets Over Broadway (1994),https://www.youtube.com/watch?v=CO11u1jOntI
Clear and Present Danger (1994),https://www.youtube.com/watch?v=TuYb6ZNQaZo
"Client, The (1994)",https://www.youtube.com/watch?v=A6Ru1zDsws0
"Corrina, Corrina (1994)",https://www.youtube.com/watch?v=mzLSpdXRz6U
"Crow, The (1994)",https://www.youtube.com/watch?v=N5uPZ7ocsqA
"Flintstones, The (1994)",https://www.youtube.com/watch?v=pMnEbfzllso
Forrest Gump (1994),https://www.youtube.com/watch?v=XHhAG-YLdk8
Four Weddings and a Funeral (1994),https://www.youtube.com/watch?v=g-HeV8Z6iXc
Higher Learning (1995),https://www.youtube.com/watch?v=R9CZErJ9idU
I Love Trouble (1994),https://www.youtube.com/watch?v=aJNK49GVTHE
It Could Happen to You (1994),https://www.youtube.com/watch?v=8ZAfzdzZqRA
"Jungle Book, The (1994)",https://www.youtube.com/watch?v=5S8iH1YWIFI
"Lion King, The (1994)",https://www.youtube.com/watch?v=lFzVJEksoDY
Little Buddha (1993),https://www.youtube.com/watch?v=skta2sxQGiQ
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",https://www.youtube.com/watch?v=aQw9sjwf0O8
"Mask, The (1994)",https://www.youtube.com/watch?v=LZl69yk5lEY
Maverick (1994),https://www.youtube.com/watch?v=507KAlpplHw
Naked Gun 33 1/3: The Final Insult (1994),https://www.youtube.com/watch?v=3Q2GtjZ0RIY
"Paper, The (1994)",https://www.youtube.com/watch?v=DvviPzjaRBY
Reality Bites (1994),https://www.youtube.com/watch?v=xDYGo0UgIVM
Red Rock West (1992),https://www.youtube.com/watch?v=_DdxpEB6j_A
Richie Rich (1994),https://www.youtube.com/watch?v=Yddr5thpDTE
"River Wild, The (1994)",https://www.youtube.com/watch?v=gWew8lWYhtI
Speed (1994),https://www.youtube.com/watch?v=8piqd2BWeGI
Speechless (1994),https://www.youtube.com/watch?v=PxZo3oM5k2E
Timecop (1994),https://www.youtube.com/watch?v=VYw_24STp8o
True Lies (1994),https://www.youtube.com/watch?v=Uz45Y50ozxE
When a Man Loves a Woman (1994),https://www.youtube.com/watch?v=fk-qz0zdYwU
Wolf (1994),https://www.youtube.com/watch?v=HXcm1cfVIRc
Wyatt Earp (1994),https://www.youtube.com/watch?v=BS5n_Ql1v2k
Street Fighter (1994),https://www.youtube.com/watch?v=T262za2DONs
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),https://www.youtube.com/watch?v=nz1l7gpAYGI
In the Mouth of Madness (1995),https://www.youtube.com/watch?v=AlugldzO9zY
Addams Family Values (1993),https://www.youtube.com/watch?v=Bb2FTulPpOA
"Age of Innocence, The (1993)",https://www.youtube.com/watch?v=I3Mx8OSlNYM
Airheads (1994),https://www.youtube.com/watch?v=mpxOTk4DDJo
Another Stakeout (1993),https://www.youtube.com/watch?v=_vhe7EnQ6z0
Bad Girls (1994),https://www.youtube.com/watch?v=CvSpONjcX2o
Barcelona (1994),https://www.youtube.com/watch?v=O2ZTOyuUfrg
"Beverly Hillbillies, The (1993)",https://www.youtube.com/watch?v=Sy0tjb-Gjqw
Beverly Hills Cop III (1994),https://www.youtube.com/watch?v=DbP7Ptyr1sA
Black Beauty (1994),https://www.youtube.com/watch?v=-qCPMP4mNcQ
Blown Away (1994),https://www.youtube.com/watch?v=f3N-e9BLZFo
Body Snatchers (1993),https://www.youtube.com/watch?v=sR8pqAB788U
Boxing Helena (1993),https://www.youtube.com/watch?v=hQbM-dEo9e8
"Bronx Tale, A (1993)",https://www.youtube.com/watch?v=z50PjmZYS4A
Cabin Boy (1994),https://www.youtube.com/watch?v=cmBq41nVrXs
Carlito's Way (1993),https://www.youtube.com/watch?v=_ZMd4Baswb4
City Slickers II: The Legend of Curly's Gold (1994),https://www.youtube.com/watch?v=rL9kgmJOHYo
Cliffhanger (1993),https://www.youtube.com/watch?v=2j18n9shdw8
Coneheads (1993),https://www.youtube.com/watch?v=j15rPm4i-t8
Cops and Robbersons (1994),https://www.youtube.com/watch?v=WtEYTu8vxoA
Dave (1993),https://www.youtube.com/watch?v=taDreDT3E6A
Dazed and Confused (1993),https://www.youtube.com/watch?v=3aQuvPlcB-8
Demolition Man (1993),https://www.youtube.com/watch?v=0B5v6QZ5R3g
Fatal Instinct (1993),https://www.youtube.com/watch?v=rBLS6W54eQw
Farewell My Concubine (Ba wang bie ji) (1993),https://www.youtube.com/watch?v=vrkYGq8TgBA
Fearless (1993),https://www.youtube.com/watch?v=Tm5jBa4LzxQ
With Honors (1994),https://www.youtube.com/watch?v=DZ7Fm26YJjs
"Firm, The (1993)",https://www.youtube.com/watch?v=FX3AXA3icR0
Free Willy (1993),https://www.youtube.com/watch?v=xk0XY83eEuM
"Fugitive, The (1993)",https://www.youtube.com/watch?v=ETPVU0acnrE
Hard Target (1993),https://www.youtube.com/watch?v=ckl8Zb5tOTI
Hot Shots! Part Deux (1993),https://www.youtube.com/watch?v=1FkxFFAHMws
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",https://www.youtube.com/watch?v=1UWT0dMrYOM
"Hudsucker Proxy, The (1994)",https://www.youtube.com/watch?v=dBa8p0NFwM8
In the Line of Fire (1993),https://www.youtube.com/watch?v=FuZdS9da4S4
In the Name of the Father (1993),https://www.youtube.com/watch?v=04ZYTB2ZXVc
What's Love Got to Do with It? (1993),https://www.youtube.com/watch?v=4YMzT2Uelts
Jurassic Park (1993),https://www.youtube.com/watch?v=QWBKEmWWL38
Kalifornia (1993),https://www.youtube.com/watch?v=2ut7heVeMnM
Killing Zoe (1994),https://www.youtube.com/watch?v=u_4mhnd-098
Last Action Hero (1993),https://www.youtube.com/watch?v=ShBw43KJoLk
Made in America (1993),https://www.youtube.com/watch?v=dPPN93A3RRs
Malice (1993),https://www.youtube.com/watch?v=n6Yeb5i1blY
"Man Without a Face, The (1993)",https://www.youtube.com/watch?v=0kLAuJIm79o
Manhattan Murder Mystery (1993),https://www.youtube.com/watch?v=3Gerca4N3ag
Menace II Society (1993),https://www.youtube.com/watch?v=GqRdmI8t8PA
Executive Decision (1996),https://www.youtube.com/watch?v=hY4EfSHyIyA
Much Ado About Nothing (1993),https://www.youtube.com/watch?v=rbSN4Lv_N4g
Mrs. Doubtfire (1993),https://www.youtube.com/watch?v=3euGQ7-brs4
Naked (1993),https://www.youtube.com/watch?v=TdKPbyvS0qc
"Next Karate Kid, The (1994)",https://www.youtube.com/watch?v=LztEpOxxld8
"Perfect World, A (1993)",https://www.youtube.com/watch?v=dGDIOhZMmzo
Philadelphia (1993),https://www.youtube.com/watch?v=CKDz2LVHz0Y
"Piano, The (1993)",https://www.youtube.com/watch?v=cyTn4XIYH8M
"Program, The (1993)",https://www.youtube.com/watch?v=dBOwtSdtAYg
"Ref, The (1994)",https://www.youtube.com/watch?v=FMPjFRZ-Zro
"Remains of the Day, The (1993)",https://www.youtube.com/watch?v=jALmEb72beg
Renaissance Man (1994),https://www.youtube.com/watch?v=HU7DpT-s2VA
Rising Sun (1993),https://www.youtube.com/watch?v=-EXt9QUAWz4
RoboCop 3 (1993),https://www.youtube.com/watch?v=VWBo9-YtSQs
Robin Hood: Men in Tights (1993),https://www.youtube.com/watch?v=dX4Ik-cyp-I
Romeo Is Bleeding (1993),https://www.youtube.com/watch?v=-CRmRZtyqYc
Rudy (1993),https://www.youtube.com/watch?v=firK4y-3bKw
Schindler's List (1993),https://www.youtube.com/watch?v=gG22XNhtnoY
Searching for Bobby Fischer (1993),https://www.youtube.com/watch?v=hOTc4D0uQNk
"Secret Garden, The (1993)",https://www.youtube.com/watch?v=1zeqqhA5Z3A
Serial Mom (1994),https://www.youtube.com/watch?v=Ut9GvlhB9f4
"Shadow, The (1994)",https://www.youtube.com/watch?v=l0lbmUaooSw
Shadowlands (1993),https://www.youtube.com/watch?v=NLKS0XGRYi8
Short Cuts (1993),https://www.youtube.com/watch?v=ePyhGz9_RCI
Sirens (1994),https://www.youtube.com/watch?v=L2bK5pmX4A8
Six Degrees of Separation (1993),https://www.youtube.com/watch?v=IBO1Sr14eQQ
Sleepless in Seattle (1993),https://www.youtube.com/watch?v=ahI9LaOGYcE
Sliver (1993),https://www.youtube.com/watch?v=J2pcpvDFhoc
Blade Runner (1982),https://www.youtube.com/watch?v=eogpIG53Cis
Son in Law (1993),https://www.youtube.com/watch?v=3wo6wxKUbmA
So I Married an Axe Murderer (1993),https://www.youtube.com/watch?v=nGlyUmq9wE4
Striking Distance (1993),https://www.youtube.com/watch?v=5PbX4LXD6Es
Super Mario Bros. (1993),https://www.youtube.com/watch?v=GuXwMHF9y1Y
Terminal Velocity (1994),https://www.youtube.com/watch?v=cMzjb5OeYng
Threesome (1994),https://www.youtube.com/watch?v=lted8OJBJWI
"Nightmare Before Christmas, The (1993)",https://www.youtube.com/watch?v=wr6N_hZyBCk
"Three Musketeers, The (1993)",https://www.youtube.com/watch?v=Sy9HfwyICw4
Tombstone (1993),https://www.youtube.com/watch?v=XTWYKf5hXIg
True Romance (1993),https://www.youtube.com/watch?v=_wNYNDzKpuQ
Welcome to the Dollhouse (1995),https://www.youtube.com/watch?v=KUfMS5WE2Bo
Little Big League (1994),https://www.youtube.com/watch?v=Ty4dtsphtA8
"Little Rascals, The (1994)",https://www.youtube.com/watch?v=FgyCE8VsGKM
"Celluloid Closet, The (1995)",https://www.youtube.com/watch?v=JL_vrb4-6_0
"Brady Bunch Movie, The (1995)",https://www.youtube.com/watch?v=UEU_HF6TSVo
Home Alone (1990),https://www.youtube.com/watch?v=jEDaVHmw7r4
Ghost (1990),https://www.youtube.com/watch?v=8uubih798tg
Aladdin (1992),https://www.youtube.com/watch?v=eTjHiQKJUDY
Terminator 2: Judgment Day (1991),https://www.youtube.com/watch?v=CRRlbK5w8AE
Dances with Wolves (1990),https://www.youtube.com/watch?v=uc8NMbrW7mI
Batman (1989),https://www.youtube.com/watch?v=dgC9Q0uhX70
"Silence of the Lambs, The (1991)",https://www.youtube.com/watch?v=6iB21hsprAQ
Snow White and the Seven Dwarfs (1937),https://www.youtube.com/watch?v=5fzZFQBXSLM
Beauty and the Beast (1991),https://www.youtube.com/watch?v=iurbZwxKFUE
Pinocchio (1940),https://www.youtube.com/watch?v=GBgyVY_ClzQ
Pretty Woman (1990),https://www.youtube.com/watch?v=2EBAVoN8L_U
"Wild Bunch, The (1969)",https://www.youtube.com/watch?v=kdy0t_8mQBw
One Fine Day (1996),https://www.youtube.com/watch?v=BJjj_v33mTs
Candyman: Farewell to the Flesh (1995),https://www.youtube.com/watch?v=jpInUUDkZwo
Fargo (1996),https://www.youtube.com/watch?v=ju75Sd4yAZw
Homeward Bound II: Lost in San Francisco (1996),https://www.youtube.com/watch?v=S5NFis_DVqI
Heavy Metal (1981),https://www.youtube.com/watch?v=PqGoauS101I
Hellraiser: Bloodline (1996),https://www.youtube.com/watch?v=ITi8sz2TgVs
"Pallbearer, The (1996)",https://www.youtube.com/watch?v=8e9fp9TAJCY
Jane Eyre (1996),https://www.youtube.com/watch?v=KR7gr84m2GY
"Aristocats, The (1970)",https://www.youtube.com/watch?v=zDCPJ3FH8hA
"Last Supper, The (1995)",https://www.youtube.com/watch?v=3qhXvSDmxyE
Primal Fear (1996),https://www.youtube.com/watch?v=glWAjoDVH3c
All Dogs Go to Heaven 2 (1996),https://www.youtube.com/watch?v=muR5N_9p3RY
